text,label,template_group_id
The payment is scheduled for tomorrow. No further approvals are presently blocking completion. The timing appears consistent with the prior agreement.,LOW_RISK,LOW_03_SCHEDULED
Payment has been suspended pending further review. The account can no longer be treated as current. There is no immediate evidence of a viable recovery path.,HIGH_RISK,HIGH_03_BLOCKED
The customer needs a little more time to complete the internal review. The terms are still being worked through. The account should be watched closely over the next few days.,MEDIUM_RISK,MED_04_INTERNAL_REVIEW
The account is healthy and the outstanding amount is still on track. The transaction is expected to clear as scheduled. There is no evidence of a temporary or prolonged delay.,LOW_RISK,LOW_04_NO_BLOCKER
We are facing a temporary liquidity problem. The invoice is at risk because the customer cannot confirm a repayment date. The cash-flow disruption may result in a prolonged delay.,HIGH_RISK,HIGH_02_CASHFLOW
The customer says the transfer will be made later than originally planned. The customer expects payment to land within a few days. The situation is manageable but needs close monitoring.,MEDIUM_RISK,MED_03_SHORT_DELAY
All review steps have been completed and the invoice is approved. The release is already prepared in the payment queue. This should meet the original due date.,LOW_RISK,LOW_02_APPROVED
The invoice has been flagged for additional approval checks. There is a reasonable chance of a minor processing delay. There is no indication that the invoice has been rejected.,MEDIUM_RISK,MED_01_APPROVAL_DELAY
We are expecting a short delay while the payment is processed. The customer is hopeful the invoice will be settled shortly. The invoice still has a realistic path to payment.,MEDIUM_RISK,MED_03_SHORT_DELAY
The payment is not facing any material obstacle. The transaction is expected to clear as scheduled. The payment plan remains on track.,LOW_RISK,LOW_04_NO_BLOCKER
The invoice has been approved and positioned for release. The release is already prepared in the payment queue. This should meet the original due date.,LOW_RISK,LOW_02_APPROVED
The customer disputes the invoice and will not release funds until the issue is resolved. This indicates a significant risk of missed or prolonged payment. This should be classified as high risk.,HIGH_RISK,HIGH_04_DISPUTE
The customer is unable to make the transfer today because of cash constraints. The invoice is at risk because the customer cannot confirm a repayment date. The invoice is being threatened by a real financial limitation.,HIGH_RISK,HIGH_02_CASHFLOW
"A review step is currently in progress before disbursement. The expected outcome is still a payment, but the schedule is uncertain. This is a genuine delay risk, but not necessarily a total default.",MEDIUM_RISK,MED_04_INTERNAL_REVIEW
There is a formal disagreement over the amount and no settlement is being made. This indicates a significant risk of missed or prolonged payment. The invoice should be escalated because payment cannot be assumed.,HIGH_RISK,HIGH_04_DISPUTE
The invoice is queued for payment as agreed. The release is part of the regular payment cycle. Any delay would be limited to routine processing.,LOW_RISK,LOW_03_SCHEDULED
The customer has confirmed the invoice and expects no delay. The payment timing is considered routine. The customer has not indicated any reason to postpone payment.,LOW_RISK,LOW_04_NO_BLOCKER
The account is healthy and the outstanding amount is still on track. The transaction is expected to clear as scheduled. The customer has not indicated any reason to postpone payment.,LOW_RISK,LOW_04_NO_BLOCKER
The customer is facing a brief operational delay in payment execution. The customer expects payment to land within a few days. The delay should not be interpreted as a complete nonpayment.,MEDIUM_RISK,MED_03_SHORT_DELAY
The payment is being withheld because of a dispute. The invoice has become a high-risk collection matter. The financial outcome is uncertain and potentially adverse.,HIGH_RISK,HIGH_04_DISPUTE
There are currently no issues preventing payment. The invoice remains in good standing. The customer has not indicated any reason to postpone payment.,LOW_RISK,LOW_04_NO_BLOCKER
The customer has confirmed the invoice and expects no delay. The transaction is expected to clear as scheduled. This is a routine collection case with no material risk.,LOW_RISK,LOW_04_NO_BLOCKER
