text,label,template_group_id
The invoice is effectively stalled because the transfer has been blocked. The customer has essentially paused the obligation. A sustained delay appears likely.,HIGH_RISK,HIGH_03_BLOCKED
The transfer is delayed until reconciliation is complete. The customer expects to settle once the review is complete. The payment date is not fully fixed yet.,MEDIUM_RISK,MED_02_RECONCILIATION
The payment is not proceeding because the customer is unable to release funds. The payment may not be possible until the blocking issue is resolved. The customer is not close to making a payment decision.,HIGH_RISK,HIGH_03_BLOCKED
The transfer has been arranged and should go through promptly. The transfer matches the agreed schedule. We are not seeing a payment disruption at this time.,LOW_RISK,LOW_03_SCHEDULED
The transfer is delayed by normal processing timing. The customer is hopeful the invoice will be settled shortly. The outstanding amount is still expected to be settled in the near term.,MEDIUM_RISK,MED_03_SHORT_DELAY
The customer has a temporary issue preventing immediate settlement. The case is unresolved and should be followed closely. This is an operational delay rather than a full repudiation.,MEDIUM_RISK,MED_06_TEMPORARY_ISSUE
The payment is scheduled for tomorrow. The scheduled transfer is already underway. This does not look like a default scenario.,LOW_RISK,LOW_03_SCHEDULED
The invoice has been approved and positioned for release. The bank transfer is expected to go out on time. The account is expected to reflect the transfer soon.,LOW_RISK,LOW_02_APPROVED
The customer has not offered a credible commitment to settlement. The obligation is not being honored with enough clarity or certainty. This should not be treated as a routine payment case.,HIGH_RISK,HIGH_06_FAILURE_TO_COMMIT
The customer expects to transfer the amount shortly. The transfer matches the agreed schedule. The invoice remains on track for on-time settlement.,LOW_RISK,LOW_03_SCHEDULED
The customer expects to transfer the amount shortly. No further approvals are presently blocking completion. Any delay would be limited to routine processing.,LOW_RISK,LOW_03_SCHEDULED
"The customer is facing a brief operational delay in payment execution. The customer is not refusing the invoice, but timing may slip slightly. The delay should not be interpreted as a complete nonpayment.",MEDIUM_RISK,MED_03_SHORT_DELAY
The payment request has been cleared internally. The funds are scheduled to move according to the agreement. This should meet the original due date.,LOW_RISK,LOW_02_APPROVED
Payment has been suspended pending further review. The amount is not currently in motion. A sustained delay appears likely.,HIGH_RISK,HIGH_03_BLOCKED
The outstanding balance has been cleared. There are no outstanding payment issues. The payment activity has already been completed.,LOW_RISK,LOW_01_COMPLETE
The customer is refusing payment while the invoice is being contested. The customer is not confirming any immediate payment timeline. No payment can be expected until the dispute is addressed.,HIGH_RISK,HIGH_04_DISPUTE
"The payment was not completed yet, but the customer is still engaged. The account needs continued monitoring because the release date is not yet fixed. The customer has not outright refused the invoice.",MEDIUM_RISK,MED_05_PENDING_BUT_REASONABLE
The invoice is going through the standard internal review process. The payment may move later than originally intended. The account should be watched closely over the next few days.,MEDIUM_RISK,MED_04_INTERNAL_REVIEW
The customer says they are still planning to pay. The most likely outcome is payment after a short additional delay. The customer has not outright refused the invoice.,MEDIUM_RISK,MED_05_PENDING_BUT_REASONABLE
The transfer was successfully sent. No further action is required. There is no current blocker on the account.,LOW_RISK,LOW_01_COMPLETE
The customer has confirmed the invoice is ready for settlement. This is expected to happen on the agreed date. The account is in a good position for settlement.,LOW_RISK,LOW_05_READY_TO_PAY
The payment is paused due to a disagreement over the invoice details. The payment date remains uncertain and likely to move back significantly. No payment can be expected until the dispute is addressed.,HIGH_RISK,HIGH_04_DISPUTE
"The customer is dealing with a brief constraint that could shift the transfer. The payment timeline is under review and likely to move. The payment might still happen, but not necessarily on the original date.",MEDIUM_RISK,MED_06_TEMPORARY_ISSUE
"The transfer is delayed by normal processing timing. The delay is temporary and tied to current operations. The account may show a short delay, but not a permanent issue.",MEDIUM_RISK,MED_03_SHORT_DELAY
The customer has indicated that settlement will be much later than agreed. The customer has signaled a materially worse payment outcome. The invoice should be monitored as high risk.,HIGH_RISK,HIGH_05_PROLONGED_DELAY
Payment is still pending final approval. The transfer should happen once the review step is finished. The delay appears to be procedural rather than financial.,MEDIUM_RISK,MED_01_APPROVAL_DELAY
The customer is finishing a reconciliation check before releasing funds. A brief delay is expected while the file is completed. The customer still expects to settle once the review task is completed.,MEDIUM_RISK,MED_02_RECONCILIATION
The invoice is fully settled. The agreement is satisfied in full. There is no current blocker on the account.,LOW_RISK,LOW_01_COMPLETE
The funds are available and the transfer is ready. There is no delay indicated by the finance team. No special payment follow-up should be necessary.,LOW_RISK,LOW_05_READY_TO_PAY
Payment was executed and the transaction is complete. The collection process is effectively finished. The record should show that the invoice is paid.,LOW_RISK,LOW_06_CONFIRMED
The finance team is still reviewing the invoice. The customer believes the invoice will eventually be paid. The customer confirms the payment is likely but not yet confirmed.,MEDIUM_RISK,MED_01_APPROVAL_DELAY
The customer has not provided a firm settlement date. The buyer has not provided the necessary assurance that the amount will be paid. The customer appears unable or unwilling to commit.,HIGH_RISK,HIGH_01_NO_DATE
The organization is not in a position to guarantee payment. We should assume the account requires immediate attention. The business is effectively signaling uncertainty about settlement.,HIGH_RISK,HIGH_06_FAILURE_TO_COMMIT
"The payment team is still confirming the invoice details. The process is moving forward but not yet final. The likely outcome is eventual payment, but the exact date is still pending.",MEDIUM_RISK,MED_02_RECONCILIATION
"The payment is still expected, but a temporary problem is slowing the process. The case is unresolved and should be followed closely. The payment event is delayed but not abandoned.",MEDIUM_RISK,MED_06_TEMPORARY_ISSUE
The custodian has confirmed the payment release window. The transfer matches the agreed schedule. The payment commitment appears solid.,LOW_RISK,LOW_03_SCHEDULED
"The customer is finishing a reconciliation check before releasing funds. The process is moving forward but not yet final. We have not seen evidence of refusal, only a processing pause.",MEDIUM_RISK,MED_02_RECONCILIATION
The payment has been queued but may take a little longer than usual. The payment is still intended and should come through soon. The outstanding amount is still expected to be settled in the near term.,MEDIUM_RISK,MED_03_SHORT_DELAY
The buyer is not prepared to confirm when the invoice will be paid. The payment horizon remains highly uncertain. The amount should be managed with a high-risk posture.,HIGH_RISK,HIGH_06_FAILURE_TO_COMMIT
The transfer will not be made within the current schedule. The invoice should be treated as high risk until payment is actually received. The amount could remain unsettled for a meaningful stretch.,HIGH_RISK,HIGH_05_PROLONGED_DELAY
The payment is being withheld because of a dispute. The buyer may be unable to settle until the dispute is closed. The case may require dispute resolution before any cash movement occurs.,HIGH_RISK,HIGH_04_DISPUTE
The transfer was sent successfully. The outstanding balance is resolved. The account reflects a completed transaction.,LOW_RISK,LOW_06_CONFIRMED
The payment is being delayed because of liquidity concerns. The collection team should expect a difficult and delayed outcome. The risk of nonpayment is elevated until the situation changes.,HIGH_RISK,HIGH_02_CASHFLOW
The payment status is unresolved but the customer is still communicating. The buyer is aware of the obligation and is still working through it. The customer has not outright refused the invoice.,MEDIUM_RISK,MED_05_PENDING_BUT_REASONABLE
The invoice will likely be paid only after an extended period. The chance of a timely collection is low in this scenario. The business is effectively saying the payment may be late for a long time.,HIGH_RISK,HIGH_05_PROLONGED_DELAY
"The customer has not confirmed the payment date, only their intent to pay. The situation suggests a moderate payment risk rather than immediate default. The buyer is engaged, but the payment date remains provisional.",MEDIUM_RISK,MED_05_PENDING_BUT_REASONABLE
The payment release is currently blocked by internal constraints. The payment path appears compromised. There is no immediate evidence of a viable recovery path.,HIGH_RISK,HIGH_03_BLOCKED
The transfer will not be made within the current schedule. The customer has signaled a materially worse payment outcome. The payment could be pushed far beyond the original timeline.,HIGH_RISK,HIGH_05_PROLONGED_DELAY
All review steps have been completed and the invoice is approved. Processing is underway and proceeds according to schedule. There is no sign of a payment problem.,LOW_RISK,LOW_02_APPROVED
Payment has been suspended pending further review. The customer has essentially paused the obligation. The risk of prolonged default is significant.,HIGH_RISK,HIGH_03_BLOCKED
The payment is being delayed because of liquidity concerns. The customer is unable to promise a normal payment schedule. The invoice is being threatened by a real financial limitation.,HIGH_RISK,HIGH_02_CASHFLOW
The invoice has been flagged for additional approval checks. The customer believes the invoice will eventually be paid. The delay appears to be procedural rather than financial.,MEDIUM_RISK,MED_01_APPROVAL_DELAY
"The amount remains due and the customer has not closed the file. The invoice remains payable, just not yet confirmed in cash. There is still a credible path to payment.",MEDIUM_RISK,MED_05_PENDING_BUT_REASONABLE
The customer is dealing with a cash-flow issue that is affecting payment. The account likely needs a more urgent collection strategy. The payment will likely be delayed until liquidity improves.,HIGH_RISK,HIGH_02_CASHFLOW
The payment team is still confirming the invoice details. The amount remains committed but needs the final approval stage. The customer still expects to settle once the review task is completed.,MEDIUM_RISK,MED_02_RECONCILIATION
